,height (cm),weight (lbs),species
0,231.68386706176406,6469.491894757203,maximus
1,277.7148429624102,7639.806952501717,cyclotis
2,268.228130534056,8561.517693093156,africana
3,267.3343218521972,7673.608014169138,cyclotis
4,270.1655821794251,7259.901759176503,maximus
5,302.4045325271536,9145.80562606514,africana
6,267.5152214151332,7758.381468859195,cyclotis
7,266.7035412041966,8193.876694978822,africana
8,288.38238069294357,8919.33903062725,cyclotis
9,272.6609924507364,9092.728870771021,africana
10,245.27915026294082,6944.695403065256,maximus
11,280.5359231182718,9866.345644390129,africana
12,269.13879541609,6478.042050161731,maximus
13,285.8176991676544,8116.653336310757,cyclotis
14,258.78709193467114,8646.818512710426,africana
15,261.65146347924394,9372.3982589264,africana
16,254.56861335505766,5506.577425620477,maximus
17,284.7590523058047,7976.7678813191,cyclotis
18,262.60814629407014,8506.343753701503,cyclotis
19,282.93607071973213,9275.925689253936,africana
20,282.5977961691575,8159.837884027723,africana
21,286.3075444007913,8027.022230167622,cyclotis
22,264.43938580907076,5754.545953652415,maximus
23,301.3905895128646,8855.84308350451,africana
24,280.89538623797324,8042.830449272649,cyclotis
25,285.7126636654093,8331.947168974235,africana
26,278.58149342240574,8806.849256493555,cyclotis
27,271.97994435839485,8589.730878685596,africana
28,282.3323027681281,6665.536497326101,maximus
29,247.56282291756935,7033.908172314689,maximus
30,274.1584849262759,7357.648595474519,cyclotis
31,249.59413550074095,6708.716905236417,maximus
32,277.0795230408148,6162.815558180133,maximus
33,282.60527194529976,6911.025172154767,maximus
34,287.3435594818597,8662.812438663796,africana
35,247.9720418538734,6506.748701093572,maximus
36,296.4862847236791,8917.01273354943,africana
37,267.9640642282071,7542.226865894404,africana
38,280.81090388984467,8090.476855445073,cyclotis
39,239.99997142127253,5936.879691799521,maximus
40,293.5722701966681,8715.442071752124,africana
41,264.9883106821761,5840.415483279642,maximus
42,269.55673245470064,7038.177351472896,maximus
43,260.6888314790427,6124.624010538423,maximus
44,267.47038933697456,7055.016280479904,maximus
45,259.04792221560564,9790.875480070219,africana
46,292.6017970959715,9164.959187068705,africana
47,271.1134734081341,7708.570206563793,cyclotis
48,322.2722094621979,7667.8057731323015,cyclotis
49,304.6778892591108,8133.445902865878,cyclotis
50,265.93407840258607,8395.936932209583,africana
51,242.96710903018425,7898.745170491723,cyclotis
52,291.59502986780177,8764.251086811126,africana
53,239.67185827448935,5905.962596622008,maximus
54,245.0741584443436,6494.4128370964445,maximus
55,332.5389296846474,8229.553729956886,africana
56,276.4380431561928,7045.365762746326,maximus
57,297.6346570792111,8625.216455229403,africana
58,268.2280490321596,8521.740171575919,africana
59,271.3486565543081,7947.731611605215,cyclotis
60,273.62834024474114,8017.181655871114,africana
61,275.71401587160193,7662.963140756667,maximus
62,277.080392884011,7941.568770290082,cyclotis
63,280.10120887584173,9008.740724897047,africana
64,240.16316786107603,5967.264462490145,maximus
65,313.07923781040245,8936.783374619974,africana
66,291.5828745030336,8029.863517860815,cyclotis
67,253.54853769873804,6038.968003922802,maximus
68,292.31846710007466,8175.6696853873,africana
69,243.6469912361423,7174.134656891118,maximus
70,290.2488560571413,7036.724944398011,maximus
71,303.2125505550865,7830.549438927524,cyclotis
72,270.500697234247,7713.84210124967,cyclotis
73,256.6018163059974,8566.164337724571,africana
74,257.90935577378326,6795.391267808532,maximus
75,241.0422783307674,6276.312560361499,maximus
76,281.33582060892974,8889.854330546095,africana
77,276.6781651495519,8172.814340965425,cyclotis
78,264.9154640257909,8258.476004749857,cyclotis
79,294.70188161976506,7543.847197734712,africana
80,303.63221725492883,8478.721057385112,africana
81,289.2296193577835,8095.386643511721,cyclotis
82,259.304602170581,6254.498781156881,maximus
83,268.64057172228945,7644.438885989271,maximus
84,310.1415991654634,7671.0856426524315,cyclotis
85,265.02880754215715,8244.86671836421,cyclotis
86,278.87815601636737,8962.98904516993,africana
87,284.3657363510772,8748.728315675644,africana
88,319.77527708966596,9326.903156140757,africana
89,269.65416693974726,6208.115100998874,maximus
90,250.31642428795627,6436.696362639911,maximus
91,269.03082860789755,7444.247850095969,maximus
92,273.7725481587676,5984.50639454158,maximus
93,222.18714433399376,6543.298331471403,maximus
94,243.26088745757903,6264.411897679307,maximus
95,273.4250948516316,7849.539518397017,cyclotis
96,259.004450912878,7534.638563701985,cyclotis
97,240.00280185148807,6554.565710636034,maximus
98,271.2075965693035,8610.263456469736,africana
99,287.7914071793011,8409.970910397571,africana
100,289.7717060250768,7472.736919731793,cyclotis
101,312.1239093422167,8074.120898881276,africana
102,233.23374350740943,6459.190246140826,maximus
103,270.8501957826372,6504.808620589792,maximus
104,231.38090353576456,6012.340419194852,maximus
105,301.4383584757904,8867.728865410967,africana
106,246.5876088111049,6347.584821820735,maximus
107,211.42464404068312,6301.455853579282,maximus
108,252.9712572618724,8102.036324716172,cyclotis
109,249.34841295167573,6526.083838487425,maximus
110,277.4053122972753,7508.219385370133,cyclotis
111,291.5023429217178,7272.605670709267,africana
112,280.9324893921737,7693.718953704672,cyclotis
113,277.78960208155934,7421.841999702221,cyclotis
114,233.63692259104397,6460.139004855762,maximus
115,273.2144606208523,9060.295433233629,africana
116,275.43406878986013,8494.149335141305,africana
117,272.4946999216153,6784.545388851532,maximus
118,283.484827428857,9379.69035346074,africana
119,259.13806120037617,7759.763941432039,cyclotis
120,249.16507824187934,7034.444454304275,maximus
121,288.29173011178034,7932.191763179319,cyclotis
122,269.74739336295517,7739.124307365643,cyclotis
123,268.9013631515204,8426.282582905129,cyclotis
124,312.17210117732793,9198.160216258633,africana
125,279.3133099273921,8012.343348465351,cyclotis
126,298.78306178451766,7242.693870021732,cyclotis
127,284.82318165183756,7824.84005582732,cyclotis
128,294.52992527994877,8973.666875344517,africana
129,240.74337135058065,5984.213742121057,maximus
130,297.626058410017,5374.823248906054,maximus
131,303.2615833431764,8145.191636902136,africana
132,293.80877040034176,7574.866979062785,cyclotis
133,270.73203362648286,7677.854295005441,cyclotis
134,291.3438939888951,8344.269388965924,cyclotis
135,263.41911441580595,7444.217480336914,cyclotis
136,318.0847689717395,8730.533820371293,africana
137,263.6063359413882,6541.1970539534495,maximus
138,279.75816280385123,9380.547726570485,africana
139,270.3384871455334,8179.896553642449,cyclotis
140,273.0110622166083,8331.426001970704,cyclotis
141,242.33314600641438,5946.830598518646,maximus
142,280.0041095329091,6611.188718558692,maximus
143,297.9026630742958,7857.597400764706,cyclotis
144,287.1811664399915,8520.232955742358,africana
145,273.4358528582633,7957.719487899727,cyclotis
146,279.35980652094923,8206.058370276294,africana
147,279.7113832163762,7191.899819816575,cyclotis
148,294.60278296384087,9450.894612764132,africana
149,280.02000769160725,8033.37140184433,cyclotis
