Shipping Cost ($),Length (in),Width (in),Height (in),Weight (lb),Distance (mi)
24,36,32,9,18,1079
38,41,31,12,18,1797
38,34,34,15,24,1722
20,32,22,8,8,461
24,37,24,14,19,491
21,32,20,3,6,1029
27,33,23,7,11,945
31,40,31,16,22,1649
30,37,28,12,20,1310
26,29,29,11,11,161
26,31,31,8,8,1434
28,42,35,16,32,499
37,42,30,17,26,1195
31,35,31,11,18,546
17,21,6,1,4,1522
9,6,6,1,3,127
23,27,13,4,7,1844
16,11,6,1,8,1517
23,32,20,5,7,1661
36,41,33,13,23,1513
21,21,19,11,12,1844
23,24,24,9,5,1686
29,35,27,15,15,1051
17,11,7,4,9,1964
18,8,12,7,8,406
23,36,21,8,14,175
26,30,30,10,13,1250
20,28,21,11,12,533
17,19,7,5,10,428
17,15,10,3,3,1458
